no,domain name,website,status,remote_ip,remote_port,time_appconnect,time_connect,time_namelookup,time_pretransfer,time_redirect,time_starttransfer,time_total
2271,wireshark.org,https://www.wireshark.org,ok,104.26.10.240,443.0,0.0,0.486246,0.4739850000000001,0.486365,0.0,0.974114,1.233216
2286,chromium.org,https://www.chromium.org,ok,216.239.32.27,443.0,0.0,0.482578,0.236708,0.48268,0.0,0.970386,0.970572
2297,google.cz,https://www.google.cz,ok,172.217.18.99,443.0,0.0,0.243724,0.229858,0.243849,0.0,0.469424,0.495833
2366,google.ie,https://www.google.ie,ok,172.217.18.163,443.0,0.0,0.240243,0.226116,0.240359,0.0,0.476029,0.502363
2378,retailmenot.com,https://www.retailmenot.com,ok,104.18.0.89,443.0,0.0,0.237536,0.224237,0.237636,0.0,0.474078,0.476901
2386,sciencealert.com,https://www.sciencealert.com,ok,104.26.10.84,443.0,0.0,0.243586,0.234951,0.243706,0.0,0.48811,0.491136
2460,propublica.org,https://www.propublica.org,ok,104.16.251.51,443.0,0.0,0.246313,0.239421,0.246419,0.0,0.764687,0.989076
2462,sabq.org,https://www.sabq.org,ok,104.18.27.32,443.0,0.0,0.231911,0.226514,0.232014,0.0,0.476149,1.477401
2468,rd.com,https://www.rd.com,ok,104.18.24.214,443.0,0.0,1.244231,0.013411,1.244338,0.0,1.265133,1.4919360000000002
2564,tawk.to,https://www.tawk.to,ok,104.22.25.131,443.0,0.0,1.492824,0.009272,1.492936,0.0,2.4803610000000003,2.487433
2568,flightradar24.com,https://www.flightradar24.com,ok,104.17.44.52,443.0,0.0,0.241843,0.225922,0.241957,0.0,0.7254010000000001,1.243162
2573,jkforum.net,https://www.jkforum.net,ok,104.20.192.74,443.0,0.0,0.020155000000000003,0.007926,0.020438,0.0,0.494355,0.494439
2584,blogspot.com.au,https://www.blogspot.com.au,ok,172.217.23.169,443.0,0.0,0.244062,0.230782,0.24418,0.0,0.479569,0.506242
2585,neobux.com,https://www.neobux.com,ok,104.16.41.15,443.0,0.0,0.245333,0.231816,0.245422,0.0,0.472538,1.473519
2623,lentainform.com,https://www.lentainform.com,ok,104.19.216.61,443.0,0.0,0.734771,0.729402,0.7348720000000001,0.0,0.992751,1.22974
2634,rte.ie,https://www.rte.ie,ok,104.18.142.17,443.0,0.0,0.255854,0.232981,0.25595,0.0,1.985505,1.996881
2669,google.dk,https://www.google.dk,ok,172.217.16.131,443.0,0.0,0.257678,0.243629,0.2578,0.0,0.4934810000000001,0.520193
2673,ahajournals.org,https://www.ahajournals.org,ok,104.18.21.186,443.0,0.0,0.256946,0.247165,0.257073,0.0,0.51247,0.5126310000000001
2679,ojooo.com,https://www.ojooo.com,ok,104.26.4.139,443.0,0.0,0.247994,0.223924,0.248085,0.0,0.473616,1.474838
2701,centrosenervida.com,https://www.centrosenervida.com,ok,185.162.171.144,443.0,0.0,5.733413,0.231993,5.733542,0.0,5.981579,5.9816410000000015
2706,andhrajyothy.com,https://www.andhrajyothy.com,ok,104.26.3.6,443.0,0.0,1.757302,0.008103,1.757434,0.0,3.4957010000000004,3.745981
2762,google.bg,https://www.google.bg,ok,216.58.210.3,443.0,0.0,1.748266,0.013165,1.7483939999999998,0.0,1.988128,2.014249
2768,creativemarket.com,https://www.creativemarket.com,ok,104.18.23.227,443.0,0.0,0.23599,0.229742,0.236109,0.0,0.252689,0.256126
2773,socialblade.com,https://www.socialblade.com,ok,104.26.1.138,443.0,0.0,1.483758,1.478303,1.483862,0.0,1.728168,2.729404
2783,yoast.com,https://www.yoast.com,ok,104.18.26.25,443.0,0.0,1.480595,0.00813,1.480695,0.0,1.496699,1.496771
2826,google.sk,https://www.google.sk,ok,172.217.22.99,443.0,0.0,1.7404810000000002,0.018492,1.7406,0.0,1.989378,1.989648
2831,chinatimes.com,https://www.chinatimes.com,ok,172.67.1.28,443.0,0.0,0.493163,0.233975,0.493279,0.0,0.983947,0.988649
2835,toppr.com,https://www.toppr.com,ok,104.20.84.29,443.0,0.0,0.4927760000000001,0.4733729999999999,0.492889,0.0,0.7231810000000001,0.724438
2840,useinsider.com,https://www.useinsider.com,ok,104.17.169.114,443.0,0.0,0.239589,0.229901,0.239692,0.0,0.473128,1.474184
2852,blogspot.it,https://www.blogspot.it,ok,172.217.23.169,443.0,0.0,0.258887,0.242459,0.258997,0.0,0.494445,0.521325
2872,page.link,https://www.page.link,ok,216.58.205.238,443.0,0.0,0.483016,0.470773,0.483144,0.0,0.720867,0.747379
2891,google.fi,https://www.google.fi,ok,172.217.16.163,443.0,0.0,0.026191,0.014315,0.026317,0.0,0.24804,0.275253
2894,templatemonster.com,https://www.templatemonster.com,ok,172.67.18.221,443.0,0.0,0.23562,0.223315,0.235725,0.0,0.473301,0.486267
2915,news24.com,https://www.news24.com,ok,104.16.251.81,443.0,0.0,0.472318,0.228187,0.47243,0.0,0.720885,0.732487
2923,udacity.com,https://www.udacity.com,ok,104.18.11.116,443.0,0.0,0.251964,0.235585,0.252067,0.0,0.985667,1.009507
2941,e-recht24.de,https://www.e-recht24.de,ok,159.69.70.50,443.0,0.0,1.971506,0.228807,1.971628,0.0,2.220215,2.475216
2995,encyclopedia.com,https://www.encyclopedia.com,ok,104.26.9.13,443.0,0.0,1.503531,0.012101,1.503645,0.0,1.514773,1.518208
2999,crhoy.com,https://www.crhoy.com,ok,172.67.70.108,443.0,0.0,1.489428,0.011981,1.489558,0.0,1.732751,1.7619900000000002
3014,sehatq.com,https://www.sehatq.com,ok,104.22.69.234,443.0,0.0,0.01829,0.009942,0.018391,0.0,1.489925,1.7446970000000002
3032,google.co.nz,https://www.google.co.nz,ok,216.58.205.227,443.0,0.0,0.248563,0.014138,0.248678,0.0,0.490567,0.516288
3038,lotterypost.com,https://www.lotterypost.com,ok,104.26.6.161,443.0,0.0,0.247617,0.240268,0.24775100000000005,0.0,0.475093,0.475249
3041,google.hr,https://www.google.hr,ok,172.217.23.99,443.0,0.0,0.484741,0.474176,0.4848560000000001,0.0,0.724279,0.750965
3066,google.rs,https://www.google.rs,ok,172.217.16.131,443.0,0.0,0.254442,0.234736,0.254571,0.0,0.485045,0.511836
